"province","district","commune"
"Bac Ninh","Yen Phong","Dung Liet"
"Bac Ninh","Tien Du","Phat Tich"
"Bac Ninh","Yen Phong","Tam Da"
"Bac Ninh","Thanh pho Bac Ninh","Ve An"
"Bac Ninh","Thuan Thanh","Ngu Thai"
"Bac Ninh","Thuan Thanh","Nghia Dao"
"Bac Ninh","Thuan Thanh","Dai Dong Thanh"
"Bac Ninh","Yen Phong","Dong Tho"
"Bac Ninh","Thuan Thanh","An Binh"
"Bac Ninh","Tien Du","Hoan Son"
"Bac Ninh","Gia Binh","Giang Son"
"Bac Ninh","Gia Binh","Van Ninh"
"Bac Ninh","Thuan Thanh","Nguyet Duc"
"Bac Ninh","Thuan Thanh","Ha Man"
"Bac Ninh","Luong Tai","Trung Chinh"
"Bac Ninh","Thanh pho Bac Ninh","Suoi Hoa"
"Bac Ninh","Gia Binh","Lang Ngam"
"Bac Ninh","Tien Du","Hien Van"
"Bac Ninh","Que Vo","Chi Lang"
"Bac Ninh","Thuan Thanh","Xuan Lam"
"Bac Ninh","Thanh pho Bac Ninh","Vu Ninh"
"Bac Ninh","Tien Du","Dai Dong"
"Bac Ninh","Thanh pho Bac Ninh","Tien An"
"Bac Ninh","Luong Tai","Lai Ha"
"Bac Ninh","Thanh pho Bac Ninh","Vo Cuong"
"Bac Ninh","Gia Binh","Cao Duc"
"Bac Ninh","Thanh pho Bac Ninh","Thi Cau"
"Bac Ninh","Luong Tai","Minh Tan"
"Bac Ninh","Que Vo","Viet Hung"
"Bac Ninh","Gia Binh","Dong Cuu"
"Bac Ninh","Yen Phong","Hoa Tien"
"Bac Ninh","Luong Tai","Trung Xa"
"Bac Ninh","Thanh pho Bac Ninh","Dap Cau"
"Bac Ninh","Que Vo","Viet Thong"
"Bac Ninh","Que Vo","Que Tan"
"Bac Ninh","Thuan Thanh","Thi tran Ho"
"Bac Ninh","Gia Binh","Binh Duong"
"Bac Ninh","Thi Xa Tu Son","Dong Ky"
"Bac Ninh","Thuan Thanh","Tri Qua"
"Bac Ninh","Thanh pho Bac Ninh","Ninh Xa"
"Bac Ninh","Gia Binh","Quynh Phu"
"Bac Ninh","Thanh pho Bac Ninh","Phong Khe"
"Bac Ninh","Que Vo","Han Quang"
"Bac Ninh","Thanh pho Bac Ninh","Hap Linh"
"Bac Ninh","Gia Binh","Thai Bao"
"Bac Ninh","Tien Du","Canh Hung"
"Bac Ninh","Luong Tai","Quang Phu"
"Bac Ninh","Luong Tai","Phu Luong"
"Bac Ninh","Luong Tai","My Huong"
"Bac Ninh","Que Vo","Phu Luong"
